16-May-06,136,0.1,97,12,273.9,92.8,6.8,0.38,9.7,    SKS,11.1,25.9,69.8,29.7,56.9,83,11.1,45.9,-92,0.5,1.3,2.6,0.2,0.8,1.5,0.5,0.9,2.4,0.04,0.125,1412.99,1442.27,No,  ??,fair,POOR,8.7,11,0.98,0.96, Minimum Energy,-0.8599,-1.0038,-0.716, 
13-Sep-07,256,-2.1,99.6,22,270.5,93,7.1,0.74,12.8,   SKKS,11.1,24.5,65.7,18.6,43.5,74.9,3,26.5,79.9,0.6,1.3,2.6,0.5,1,1.7,0.7,1.2,3.2,0.04,0.125,1434.57,1454.25,No,  ??,fair,POOR,11.2,13.5,0.98,0.97, Minimum Energy,-0.9236,-1.062,-0.7853, 
16-May-06,136,0.1,97,12,273.9,92.8,6.8,0.38,9.7,    SKS,9.1,27.9,79.9,25.6,55.9,86,9.1,43.9,-88,0.4,1.2,3,0,0.7,1.7,0.4,0.9,2.8,0.04,0.125,1412.34,1442.62,No,  ??,fair,POOR,8.7,10.8,0.98,0.96, Minimum Energy,-0.8598,-1.0278,-0.6917, 
13-Sep-07,256,-2.1,99.6,22,270.5,93,7.1,0.74,12.8,   SKKS,11.1,24.5,63.7,20.6,43.5,72.9,5.1,28.5,79.9,0.6,1.2,2.5,0.5,0.9,1.6,0.7,1.2,2.9,0.04,0.125,1434.34,1454.71,No,  ??,fair,POOR,11.1,13,0.98,0.96, Minimum Energy,-0.9203,-1.0563,-0.7843, 
19-0v-2005,323,2.2,96.8,21,275.3,91.3,6.3,0.6,12.9,   SKKS,17.2,37.3,75.8,22.6,52.3,79.9,11.1,41.3,86,0.5,0.8,1.7,0.2,0.7,1.2,0.5,0.8,2.1,0.04,0.125,1421.48,1439.08,No,  ??,fair,POOR,16.2,17.7,0.99,0.99, Minimum Energy,-0.7054,-0.7889,-0.6218, 
8-May-06,128,-4.8,102.4,43,266.7,93.5,5.9,0.26,12.8,   SKKS,9.1,30.7,67.8,15.6,41.7,67.9,-13.1,2.7,-90,0.5,0.9,1.7,0.5,0.8,1.2,0.5,2,3.4,0.04,0.125,1428.9,1453.18,No,NO,fair,FAIR,9.7,10,0.98,0.97, Minimum Energy,-0.7828,-0.8769,-0.6886, 
16-Aug-09,228,-1.5,99.5,20,271,92.6,6.7,0.66,9.8,    SKS,29.3,47,65.7,12.6,49,85,23.3,57,79.9,0.6,0.8,1,0.3,0.7,1.9,0.7,0.8,1.5,0.04,0.125,1418.66,1438.94,No,NO,good,GOOD,35.5,36.1,1,1, Minimum Energy,-0.7553,-0.7941,-0.7166, 
16-Aug-09,228,-1.4,99.4,21,271.1,92.6,5.8,0.7,9.8,    SKS,13.1,33.1,71.8,33.7,58.1,83,37.4,81.1,-88,0.5,0.9,1.8,0.5,0.8,1.4,0.6,1.3,2.4,0.04,0.125,1413.64,1432.94,No,  ??,fair,POOR,8.2,9.3,0.98,0.97, Minimum Energy,-0.7675,-0.8676,-0.6675, 
12-Jun-18,163,-2,98.6,9,271.4,93.5,5.8,0.59,9.6,    SKS,7.1,29.4,77.9,31.7,50.4,70.9,9.1,67.4,-90,0.4,0.9,2.5,0.4,0.7,1.1,0.4,0.9,2.5,0.04,0.125,1418.45,1449.07,No,  ??,fair,POOR,8.2,8.5,0.97,0.95, Minimum Energy,-0.7168,-0.8414,-0.5922, 
12-Apr-20,103,-37,77.4,10,262.8,132.7,6.1,0.26,7.5,    PKS,7.1,20.8,45.5,18.6,41.8,67.9,7.1,42.8,79.9,0.7,1,1.6,0.6,0.8,1.2,0.6,0.8,1.7,0.04,0.125,1350.64,1379.52,No,  ??,fair,FAIR,10.8,13.9,0.99,0.98, Minimum Energy,-0.8308,-0.9148,-0.7468, 
21-May-21,141,-8.4,112.3,106,256.6,90.5,5.8,0.59,10.1,    SKS,19.2,38.6,53.6,14.6,41.6,63.9,13.1,40.6,63.7,0.8,1,1.4,0.6,1,1.7,0.8,1,1.6,0.04,0.125,1380.49,1402.36,No,NO,good,GOOD,13.3,13.6,0.99,0.99, Minimum Energy,-0.9737,-1.0504,-0.897, 
8-Jun-22,159,-9.1,-71.2,623,89.8,101.4,6.5,0.46,12.4,   SKKS,15.2,31.8,65.7,12.6,35.8,63.9,3,17.8,75.8,0.5,0.7,1.1,0.4,0.6,1.2,0.5,1,2.1,0.04,0.125,1330.39,1355.77,No,  NO, fair,GOOD,19.2,19.6,0.99,0.99, Minimum Energy,-0.5885,-0.6784,-0.4986, 
8-Jun-22,159,-9.1,-71.2,623,89.9,101.4,6.5,0.46,12.4,   SKKS,11.1,15.9,23.3,19.6,35.9,71.9,13.1,29.9,69.8,1.4,2,2.6,0.6,1.1,1.9,0.7,1.2,2.2,0.04,0.125,1334.7,1354.9,No,  ??, fair,FAIR,6.1,11.4,0.99,0.95, Minimum Energy,-0.8973,-1.2517,-0.543, 
21-Aug-10,233,2.2,96.7,24,275.6,91.4,5.9,0.53,12.8,   SKKS,11.1,29.6,86,29.7,53.6,79.9,7.1,-78.4,-75.8,0.4,1,3,0.2,0.7,1.2,0.5,3.2,4,0.04,0.125,1422.69,1439.17,No,  ??,poor,POOR,11.8,14.4,0.98,0.96, Minimum Energy,-0.7285,-0.8586,-0.5983, 
2-Jan-11,2,-4.5,101.4,22,267.9,93.9,5.8,0.65,12.7,   SKKS,43.5,59.9,71.8,41.7,65.9,84,63.7,71.9,79.9,1,1.6,2.4,1.1,1.8,2.5,1.7,2,2.4,0.04,0.125,1440.8,1457.05,No,NO,fair,FAIR,7.3,7.6,0.93,0.92, Minimum Energy,-1.2635,-1.5237,-1.0033, 
9-Sep-11,252,-49.6,164,10,198.5,105.3,5.9,0.16,7.8,    SKS,-43.5,-27.5,-17.2,-67.9,-39.5,-6.5,-67.8,-37.5,-7.1,1.4,1.9,2.3,1.4,1.9,2.6,1.5,1.9,2.6,0.04,0.125,1488.6,1511.59,No,NO,fair,FAIR,6.2,9.6,0.98,0.98, Minimum Energy,-2.1214,-2.2448,-1.9979, 
3-Sep-14,246,-26.6,-114.7,10,134.2,92.1,6,0,12.8,   SKKS,-3,12.2,27.3,-27.7,-5.8,13.6,-27.3,-5.8,13.1,1.2,1.8,2.5,0.9,1.4,1.9,1.2,1.6,2,0.04,0.125,1427.13,1450.58,No,  ??,fair,POOR,6.2,8.7,0.98,0.97, Minimum Energy,1.6554,1.4721,1.8386, 
15-Jun-17,166,-55.4,-124.8,10,154.7,114.2,5.8,0.01,6.7,    SKS,-3,12.7,31.3,-18.6,7.7,47.8,-17.2,14.7,57.6,1.5,2.1,2.9,1.4,2.2,3.5,1.4,2.1,3.4,0.04,0.125,1509.39,1533.47,No,NO,poor,GOOD,7.4,7.7,0.96,0.96, Minimum Energy,2.1728,1.9306,2.415, 
2-Aug-19,214,-7.3,104.8,49,263.3,94.1,6.9,0.21,9.5,    SKS,9.1,41.3,69.8,23.6,53.3,82,43.5,75.3,88,0.6,1.1,2,0.7,1.2,2.5,1,2,3,0.04,0.125,1413.48,1441.41,No,NO,fair,FAIR,7.8,8.2,0.97,0.97, Minimum Energy,-1.0837,-1.2385,-0.9289, 
17-0v-05,321,-22.3,-67.9,163,95.9,113.7,6.8,0.6,11.8,   SKKS,15.2,37.9,75.8,35.7,58.9,84,19.2,63.9,-83.9,0.6,1.2,2.4,0.6,1.1,1.7,0.6,1.1,2.5,0.04,0.125,1556.99,1576.04,No,  ??,fair,POOR,5.5,6.1,0.97,0.95, Minimum Energy,-1.0726,-1.2625,-0.8826, 
19-0v-05,323,2.2,96.8,21,275.3,91.3,6.3,0.6,10,    SKS,15.2,51.3,88,17.6,44.3,72.9,13.1,87.3,-81.9,0.5,1.1,2.5,0.5,1.1,2.1,0.7,2.1,3.9,0.04,0.125,1401.88,1421.69,No,NO,fair,GOOD,6.9,7,0.95,0.96, Minimum Energy,-1.0468,-1.2434,-0.8502, 
16-May-06,136,0.1,97,12,273.9,92.8,6.8,0.38,9.7,    SKS,9.1,35.9,83.9,27.7,51.9,77.9,9.1,69.9,-90,0.3,0.7,2.4,0.1,0.5,1.1,0.3,0.8,2.3,0.04,0.125,1411.74,1442.7,No,  ??,fair,POOR,12.1,13.1,0.99,0.98, Minimum Energy,-0.623,-0.7346,-0.5114, 
13-Sep-07,256,-2.1,99.6,22,270.5,93,7.1,0.74,12.8,   SKKS,29.3,52.5,71.8,20.6,51.5,79.9,23.3,52.5,77.9,0.8,1.2,1.7,0.7,1.2,2.2,0.9,1.2,1.9,0.04,0.125,1434.52,1456.36,No,NO,good,GOOD,18.8,18.8,0.99,0.99, Minimum Energy,-1.174,-1.2677,-1.0804, 
16-Aug-09,228,-1.5,99.5,20,271,92.6,6.7,0.66,9.8,    SKS,33.4,61,73.8,18.6,56,85,27.3,65,81.9,0.6,0.9,1.4,0.4,0.8,2.1,0.6,1,1.8,0.04,0.125,1418.43,1438.93,No,NO,good,GOOD,23.6,23.9,1,1, Minimum Energy,-0.7854,-0.8556,-0.7153, 
17-0v-2005,321,-22.3,-67.9,163,95.9,113.7,6.8,0.6,11.8,   SKKS,15.2,37.9,77.9,36.7,59.9,83,21.2,65.9,-86,0.6,1.2,2.4,0.7,1.1,1.6,0.6,1.1,2.5,0.04,0.125,1556.51,1575.65,No,  ??,poor,POOR,5.5,6.1,0.97,0.95, Minimum Energy,-1.0635,-1.2547,-0.8722, 
17-0v-2005,321,-22.3,-67.9,163,95.9,113.7,6.8,0.6,11.8,   SKKS,15.2,37.9,77.9,35.7,59.9,84,21.2,65.9,-86,0.6,1.2,2.4,0.6,1.1,1.7,0.6,1.1,2.5,0.04,0.125,1556.6,1575.67,No,  ??,poor,POOR,5.5,6.1,0.97,0.95, Minimum Energy,-1.0651,-1.256,-0.8742, 
16-May-06,136,0.1,97,12,273.9,92.8,6.8,0.38,9.7,    SKS,7.1,29.9,88,27.7,53.9,80.9,13.1,77.9,-90,0.2,0.8,2.8,0.2,0.6,1.2,0.4,1,2.5,0.04,0.125,1414.64,1438.45,No,  ??,fair,POOR,11.9,12.4,0.99,0.98, Minimum Energy,-0.5994,-0.7135,-0.4853, 
13-Sep-07,256,-2.1,99.6,22,270.5,93,7.1,0.74,12.8,   SKKS,31.3,52.5,71.8,18.6,50.5,82,35.4,52.5,69.8,0.9,1.2,1.7,0.6,1.2,2.5,1,1.2,1.6,0.04,0.125,1434.36,1455.27,No,NO,good,GOOD,32,33.1,0.99,0.99, Minimum Energy,-1.1868,-1.2835,-1.09, 
16-Aug-09,228,-1.5,99.5,20,271,92.6,6.7,0.66,9.8,    SKS,33.4,57,75.8,21.6,55,83,25.3,65,81.9,0.6,0.9,1.4,0.5,0.8,1.9,0.6,1,1.8,0.04,0.125,1418.51,1439.07,No,NO,good,GOOD,23.1,23.4,1,1, Minimum Energy,-0.7858,-0.8561,-0.7155, 
